Q1,Intro Test 1 Q1,Intro Test 2 Q1,Intro Test 2 Q2,Intro Test 3 Q1,Intro Test 3 Q2,Intro Test 3 Q3,Intro Test 4 Q1,Intro Test 4 Q2,Intro Test 4 Q3,Intro Test 4 Q4,wom 1 app,wom 1 power,wom 1 no,wom 1 yes,wom 1 trust you_1,wom 1 trust other_1,wom 1 agree_1,wom 1 agree_2,wom 1 agree_3,wom 1 agree_4,wom 1 agree_5,wom 1 agree_6,wom 1 agree_7,wom 1 agree_8,wom 1 agree_9,wom 1 agree_10,reg vis most,reg vis least,wom 2 app,wom 2 power,wom 2 no,wom 2 yes,wom 2 trust you_1,wom 2 trust other_1,wom 2 agree_1,wom 2 agree_2,wom 2 agree_3,wom 2 agree_4,wom 2 agree_5,wom 2 agree_6,wom 2 agree_7,wom 2 agree_8,wom 2 agree_9,wom 2 agree_10,wom 3 app,wom 3 power,wom 3 no,wom 3 yes,wom 3 trust you_1,wom 3 trust other_1,wom 3 agree_1,wom 3 agree_2,wom 3 agree_3,wom 3 agree_4,wom 3 agree_5,wom 3 agree_6,wom 3 agree_7,wom 3 agree_8,wom 3 agree_9,wom 3 agree_10,man 1 app,man 1 power,man 1 no,man 1 yes,man 1 trust you_1,man 1 trust other_1,man 1 agree_1,man 1 agree_2,man 1 agree_3,man 1 agree_4,man 1 agree_5,man 1 agree_6,man 1 agree_7,man 1 agree_8,man 1 agree_9,man 1 agree_10,man 2 app,man 2 power,man 2 no,man 2 yes,man 2 trust you_1,man 2 trust other_1,man 2 agree_1,man 2 agree_2,man 2 agree_3,man 2 agree_4,man 2 agree_5,man 2 agree_6,man 2 agree_7,man 2 agree_8,man 2 agree_9,man 2 agree_10,man 3 app,man 3 power,man 3 no,man 3 yes,man 3 trust you_1,man 3 trust other_1,man 3 agree_1,man 3 agree_2,man 3 agree_3,man 3 agree_4,man 3 agree_5,man 3 agree_6,man 3 agree_7,man 3 agree_8,man 3 agree_9,man 3 agree_10,percep decisions_1,percep output_1,percep other_1,fairness app a,fairness app b,fairness trust you_1,fairness trust other_1,fairness agree_1,fairness agree_2,fairness agree_3,fairness agree_4,fairness agree_5,fairness agree_6,fairness agree_7,fairness agree_8,fairness agree_9,fairness agree_10,discrimination yn,discrimination fact,fairness vis most,fairness vis least,age,gender,gender_4_TEXT,race,income,school,ml prof,FL_16_DO
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,The overall prediction ,The No vs Yes column graph,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Age,"Hours Worked Per Week,Age","Education,Sex,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,NO,Education,"Education,Age","Hours Worked Per Week,Sex,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,4,4,3,NO,YES,2,1,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,"Age,Sex",The yes/no column graph,Prediction,23,Woman/Female (Cis or Trans),,Asian,"$50,000 - $99,999",Bachelor's degree in college (4-year),No familiarity,Woman1|Woman3|Woman2|Man2|Man1|Man3
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,5,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,The middle graph which showed the relative weights for each input. ,The prediction graph on the left because the numbers are sufficient.,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",5,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",5,3,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,NO,Age,"Hours Worked Per Week,Age","Education,Sex,Occupation",5,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",5,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,NO,Education,Education,"Hours Worked Per Week,Sex",5,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,2,5,4,NO,YES,5,1,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,YES,Sex,"The middle graph which shows the relative weights for each feature and shows that sex is the only difference. Also, using orange and blue makes it easy to see which factors lean towards yes or no.",The prediction graph on the left. I prefer that YES be on the top. ,54,Man/Male (Cis or Trans),,Asian,"$50,000 - $99,999",Bachelor's degree in college (4-year),Beginner,Woman2|Man3|Man1|Woman3|Woman1|Man2
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,2,1,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Prediction,Feature | Value graph to the right,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",2,1,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",2,2,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,NO,Age,"Hours Worked Per Week,Age","Education,Sex,Occupation",2,1,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",3,1,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,NO,Education,"Education,Age","Hours Worked Per Week,Sex,Occupation",2,1,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,6,6,4,NO,YES,2,1,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,YES,Sex,Sex,Hours,26,Man/Male (Cis or Trans),,Hispanic/Latinx,"$0 - $49,999",Some college but no degree,No familiarity,Woman3|Man2|Man3|Man1|Woman1|Woman2
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex",Age,2,3,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,The distance of the individual bars in the middle section.,"The section on the right, as it takes much more time to process that information.",NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",2,3,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",3,3,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,NO,Age,"Hours Worked Per Week,Age","Sex,Occupation",2,3,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",2,3,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,NO,Education,Education,"Hours Worked Per Week,Sex",2,3,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,4,4,3,NO,YES,2,3,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,YES,Sex,The middle column,The column on the right,29,Man/Male (Cis or Trans),,White,"$0 - $49,999",Some college but no degree,Intermediate,Man3|Man1|Woman3|Woman1|Man2|Woman2
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,5,4,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,The middle design that gives exact probability values of someone being unlikely or likely to be approved for a loan,The value for the table,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",5,5,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",5,5,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,NO,Age,"Hours Worked Per Week,Age","Education,Sex,Occupation",5,5,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",5,5,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,NO,Education,"Education,Age","Hours Worked Per Week,Sex,Occupation",5,4,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,5,6,6,NO,YES,4,2,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,YES,Sex,The bar graph,The table,26,Man/Male (Cis or Trans),,Hispanic/Latinx,"$0 - $49,999",Master's degree,Beginner,Man3|Woman1|Man2|Woman3|Man1|Woman2
I agree,"YES, you should wear a coat",hail,,Temperature,Wind,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Temperature,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,5,4,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,The graph for the feature and value chart,n/a,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",3,3,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",3,3,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,NO,Age,"Hours Worked Per Week,Age","Education,Sex,Occupation",4,4,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",4,4,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,NO,Education,"Education,Age","Hours Worked Per Week,Sex,Occupation",4,4,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,5,4,4,NO,YES,4,4,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,YES,Age,All of the charts were useful ,n/a,40,Woman/Female (Cis or Trans),,Black/African American,"$0 - $49,999",High school graduate (high school diploma or equivalent including GED),No familiarity,Man3|Woman1|Man1|Woman2|Woman3|Man2
I agree,"YES, you should wear a coat",hail,,Precipitation,Wind,Temperature,"NO, do not wear a coat",61,Precipitation,Wind,NO,Sex,"Hours Worked Per Week,Sex,Occupation","Age,Sex",2,3,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,N/A,N/A,NO,Age,"Hours Worked Per Week,Occupation","Education,Sex",4,4,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,NO,Hours Worked Per Week,"Hours Worked Per Week,Age,Sex,Occupation","Hours Worked Per Week,Sex,Occupation",3,4,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,NO,Hours Worked Per Week,"Sex,Occupation","Education,Hours Worked Per Week,Age,Occupation",2,2,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,NO,Hours Worked Per Week,"Education,Hours Worked Per Week,Age","Age,Sex,Occupation,None of these",4,3,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,NO,Hours Worked Per Week,"Education,Age","Education,Age",3,4,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,4,1,1,NO,YES,5,5,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,YES,"Hours Per Week,Education,Occupation",N/A,N/A,29,Man/Male (Cis or Trans),,White,"$0 - $49,999",Associate degree in college (2-year),No familiarity,Woman2|Man2|Man3|Man1|Woman3|Woman1
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,2,2,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Colors,"The chart on the right, could be incorporated into the graph.",NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",3,4,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",5,4,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,NO,Age,"Hours Worked Per Week,Age","Education,Sex,Occupation",3,3,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",5,6,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,NO,Education,"Education,Age","Hours Worked Per Week,Sex,Occupation",3,3,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,5,5,6,NO,YES,5,2,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,YES,Sex,The bar chart,The chart on the right,18,Man/Male (Cis or Trans),,White,"$50,000 - $99,999",Some college but no degree,Intermediate,Woman1|Man3|Woman3|Man1|Woman2|Man2
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,5,5,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,The middle graphic,the right graphic,NO,Age,"Hours Worked Per Week,Age,Sex",Education,5,5,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",5,5,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,NO,Age,"Hours Worked Per Week,Age","Sex,Occupation",5,5,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",5,5,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,NO,Education,"Education,Age","Hours Worked Per Week,Sex,Occupation",5,5,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,6,6,6,NO,YES,5,5,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,NO,,middle graphic,right graphic,52,Man/Male (Cis or Trans),,White,"$100,000+",Master's degree,Beginner,Woman1|Woman2|Man3|Man1|Man2|Woman3
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Wind,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex",Age,2,2,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,The graph (not the table),the table,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",2,2,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",2,2,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,NO,Age,"Hours Worked Per Week,Age","Sex,Occupation",2,2,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",2,2,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,NO,Education,Education,"Hours Worked Per Week,Sex,Occupation",2,2,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,5,6,3,NO,YES,3,3,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,"Age,Hours Per Week,Education,Occupation,Sex",the graph,the table,39,Woman/Female (Cis or Trans),,Other,"$0 - $49,999",Some college but no degree,Beginner,Man3|Man2|Man1|Woman2|Woman3|Woman1
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,The prediction table and the bar graph visualization showing No and Yes on both sides,The Feature-Value chart,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,NO,Age,"Hours Worked Per Week,Age","Education,Sex,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,NO,Education,"Education,Age","Hours Worked Per Week,Sex,Occupation",2,3,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,4,5,3,NO,YES,1,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Age,The feature and No/Yes Bar graph tables,The prediction table,25,Man/Male (Cis or Trans),,Hispanic/Latinx,"$50,000 - $99,999",Bachelor's degree in college (4-year),No familiarity,Man3|Man1|Woman3|Woman1|Man2|Woman2
I agree,"YES, you should wear a coat",hail,,Wind,Wind,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex",Age,3,3,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,large font and contrasting colors,none,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",3,3,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,Sex,"Hours Worked Per Week,Age,Occupation",3,3,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,NO,Age,"Hours Worked Per Week,Age",Occupation,3,3,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",3,3,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,NO,Education,Education,"Hours Worked Per Week,Sex",3,3,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,3,3,1,NO,YES,3,3,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,"Age,Hours Per Week,Education,Occupation,Sex",bright and contrasting colors,none,36,Prefer Not to Answer,,Black/African American,Other,Prefer not to answer,No familiarity,Woman3|Man1|Woman2|Man2|Woman1|Man3
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,"The far left visual made it really easy to see if it was a yes or no answer. Splitting the sides into yes and no, made it easy for the middle. Colors on the far right were the most useful for that one. ",The numbers were only useful in the second visual due to a few questions. The value in the visual on the far right was least useful for me. ,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",1,1,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",1,3,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,NO,Age,"Hours Worked Per Week,Age","Education,Sex,Occupation",1,1,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",5,3,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,NO,Education,"Education,Age","Hours Worked Per Week,Sex,Occupation",2,1,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,5,6,6,NO,YES,1,1,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,YES,Sex,the prediction bar was useful to rule yes or no. The split middle was useful visually & the bars indicating how much it affected their score. The colors on the far right. ,The values in the far right were redundant for me. ,24,Woman/Female (Cis or Trans),,White,"$50,000 - $99,999",Some college but no degree,No familiarity,Man2|Woman1|Man3|Woman3|Woman2|Man1
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,2,2,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,The feature table.,The yes/no table.,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",3,3,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",4,4,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,NO,Age,"Hours Worked Per Week,Age","Education,Sex,Occupation",4,4,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",4,4,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,NO,Education,"Education,Age","Hours Worked Per Week,Sex,Occupation",4,4,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,5,5,4,NO,YES,3,3,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,"Age,Sex",How much weight is given to sex.,The weight given to hours worked.,60,Man/Male (Cis or Trans),,White,"$50,000 - $99,999",High school graduate (high school diploma or equivalent including GED),Beginner,Man2|Woman3|Man1|Man3|Woman1|Woman2
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,Wind,Temperature,NO,Sex,"Education,Hours Worked Per Week,Sex",Age,2,2,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,The prediction bars ,The feature values,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",2,1,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",2,3,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,NO,Age,Age,Occupation,5,4,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",5,4,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,NO,Education,Education,Sex,5,5,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,5,6,5,NO,YES,2,4,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,YES,Sex,The middle one that breaks down weights,The values on the right side,38,Man/Male (Cis or Trans),,White,"$50,000 - $99,999",Some college but no degree,Intermediate,Man2|Woman3|Woman1|Man1|Man3|Woman2
I agree,"NO, do not wear a coat",hail,,Temperature,Wind,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex",Age,2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,The most useful part of the visualization is the differentiation in color and the prediction table on the left.,The feature and value graph was redundant with some of its features and wasn't all neccecary to look at.,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",2,3,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",3,3,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,NO,Age,"Hours Worked Per Week,Age","Sex,Occupation",2,3,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",2,3,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,NO,Education,Education,"Hours Worked Per Week,Sex,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,5,6,6,NO,YES,2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,YES,"Age,Sex",The design aspect that was the most useful was the differences in color shown especially regarding education level and the sex of the person..,The occupation part of the table seemed to be the least impactful therefore it was the least useful design aspect.,24,Woman/Female (Cis or Trans),,Hispanic/Latinx,"$0 - $49,999",High school graduate (high school diploma or equivalent including GED),No familiarity,Woman1|Woman3|Woman2|Man2|Man1|Man3
